Test 1- 13/10/21,,Test 2 - 13/10/21,,Test 3 - 13/10/21,,Test 4 - 13/10/21,,Test 1 - 09/11/21,,Test 2 - 09/11/21,
Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm]
,,205.900,0.463,215.400,0.465,171.400,0.467,163.300,0.548,132.000,0.459
,,206.100,0.463,215.300,0.466,171.500,0.467,163.300,0.548,132.100,0.460
,,206.400,0.464,215.200,0.466,171.400,0.467,163.300,0.548,132.100,0.459
,,206.100,0.463,215.400,0.465,171.900,0.468,163.200,0.547,131.900,0.459
,,205.900,0.464,215.500,0.466,172.000,0.468,163.300,0.548,132.000,0.460
,,206.100,0.464,215.400,0.466,171.900,0.467,163.100,0.547,132.100,0.460
,,206.100,0.464,215.600,0.466,172.000,0.467,163.300,0.547,132.000,0.460
,,206.100,0.464,215.500,0.467,171.900,0.468,163.300,0.547,131.900,0.460
,,206.600,0.463,215.900,0.466,172.100,0.467,163.200,0.547,132.100,0.460
,,206.700,0.463,215.800,0.467,172.000,0.468,163.300,0.547,132.000,0.461
,,206.900,0.464,216.000,0.465,172.300,0.467,163.400,0.547,132.000,0.460
,,207.000,0.464,216.000,0.465,172.100,0.468,163.700,0.547,132.200,0.460
,,207.300,0.463,216.000,0.466,172.100,0.468,163.900,0.547,132.600,0.460
,,207.300,0.464,216.200,0.467,172.500,0.467,163.900,0.547,132.600,0.461
,,207.700,0.463,216.500,0.466,172.500,0.468,163.900,0.547,132.600,0.461
,,207.700,0.464,216.600,0.466,172.600,0.468,163.800,0.548,132.700,0.461
,,207.800,0.464,216.700,0.466,172.600,0.468,164.000,0.547,132.500,0.462
,,207.600,0.464,217.000,0.466,172.500,0.468,164.000,0.548,132.600,0.461
,,207.700,0.464,217.300,0.466,172.600,0.467,163.700,0.548,132.500,0.462
,,207.700,0.463,217.300,0.466,172.600,0.468,163.900,0.549,132.700,0.461
,,207.700,0.464,217.200,0.467,172.600,0.468,164.400,0.548,132.700,0.462
,,208.000,0.465,217.500,0.466,172.500,0.468,164.300,0.548,132.600,0.462
,,208.300,0.464,217.600,0.467,172.700,0.468,164.200,0.548,132.600,0.462
,,208.700,0.464,217.700,0.466,172.600,0.468,164.300,0.548,132.900,0.461
,,208.600,0.464,217.800,0.466,172.600,0.467,164.200,0.548,133.100,0.461
,,208.500,0.464,217.700,0.467,172.600,0.469,164.200,0.548,133.100,0.462
,,208.800,0.463,217.600,0.466,173.000,0.468,164.300,0.548,133.100,0.462
,,208.800,0.463,217.700,0.467,173.000,0.468,164.400,0.548,133.100,0.462
,,208.900,0.464,217.800,0.466,173.000,0.468,164.300,0.548,133.400,0.463
,,208.700,0.464,217.800,0.467,173.100,0.468,164.300,0.549,133.700,0.462
,,209.200,0.464,217.800,0.466,173.100,0.468,164.300,0.548,133.800,0.462
,,209.500,0.464,218.300,0.466,173.200,0.467,164.300,0.548,133.700,0.462
,,209.500,0.464,218.300,0.466,173.300,0.468,164.400,0.548,133.800,0.461
,,209.500,0.464,218.300,0.466,173.600,0.468,164.400,0.548,133.700,0.462
,,209.400,0.464,218.300,0.466,173.600,0.467,164.400,0.548,133.700,0.462
,,209.500,0.464,218.400,0.466,173.600,0.468,164.500,0.548,133.800,0.462
,,209.600,0.465,218.300,0.466,173.700,0.468,164.200,0.548,133.700,0.461
,,210.000,0.464,218.200,0.466,173.600,0.469,164.300,0.548,133.800,0.463
,,209.900,0.464,218.100,0.466,173.900,0.469,164.400,0.548,133.700,0.462
,,210.000,0.464,218.500,0.465,174.200,0.468,164.500,0.548,133.800,0.462
,,210.000,0.463,219.000,0.465,174.200,0.468,164.700,0.548,133.800,0.462
,,210.100,0.465,218.900,0.466,174.300,0.468,164.900,0.549,133.800,0.462
,,210.500,0.464,218.900,0.466,174.400,0.469,165.000,0.548,134.200,0.462
,,210.600,0.464,218.700,0.465,174.100,0.469,164.700,0.548,134.300,0.462
,,210.600,0.464,218.800,0.466,174.200,0.468,165.000,0.549,134.200,0.462
,,210.600,0.464,218.800,0.466,174.100,0.468,165.300,0.548,134.200,0.461
,,210.900,0.464,218.900,0.466,174.200,0.468,165.300,0.548,134.300,0.462
,,211.200,0.464,218.800,0.466,174.300,0.468,165.300,0.548,134.300,0.460
,,211.100,0.464,218.800,0.466,174.300,0.468,165.400,0.549,134.300,0.462
,,211.100,0.464,218.800,0.465,174.400,0.468,165.400,0.549,134.100,0.462
,,211.200,0.464,219.000,0.466,174.300,0.468,165.500,0.547,134.400,0.467
,,211.400,0.464,219.400,0.468,174.200,0.468,165.600,0.549,134.700,0.470
,,211.700,0.464,219.400,0.470,174.400,0.468,165.400,0.548,134.800,0.476
,,211.800,0.464,219.500,0.474,174.300,0.468,165.500,0.548,135.200,0.478
,,211.700,0.464,219.700,0.475,174.700,0.468,165.600,0.548,135.400,0.480
,,211.500,0.463,220.000,0.478,174.900,0.468,165.400,0.548,135.300,0.482
,,211.800,0.464,219.900,0.480,174.900,0.468,165.500,0.548,135.800,0.483
,,211.700,0.465,220.200,0.481,174.900,0.467,165.600,0.548,135.900,0.484
,,212.200,0.465,220.500,0.483,174.800,0.468,165.700,0.549,136.100,0.482
,,212.200,0.464,220.600,0.483,174.900,0.468,165.900,0.549,135.800,0.484
,,211.800,0.465,221.000,0.483,175.200,0.468,166.100,0.549,136.200,0.484
,,211.900,0.465,221.100,0.486,175.400,0.468,166.000,0.548,136.500,0.484
,,212.000,0.465,220.900,0.486,175.400,0.468,166.000,0.549,137.000,0.485
,,212.300,0.464,221.300,0.487,175.500,0.468,165.900,0.549,137.100,0.486
,,212.300,0.464,221.700,0.486,175.200,0.467,166.100,0.549,137.400,0.485
,,212.400,0.465,221.600,0.487,175.400,0.468,166.100,0.548,137.700,0.486
,,212.500,0.465,221.800,0.488,175.600,0.467,166.100,0.548,137.800,0.486
,,212.300,0.465,221.800,0.487,175.300,0.468,166.000,0.549,138.000,0.486
,,212.300,0.465,221.900,0.488,175.500,0.468,166.100,0.548,138.200,0.487
,,212.400,0.465,222.300,0.488,176.000,0.468,166.100,0.548,138.800,0.487
,,212.900,0.465,222.200,0.488,176.000,0.468,166.300,0.549,138.900,0.486
,,212.900,0.465,222.300,0.488,176.000,0.467,166.100,0.548,138.800,0.486
,,212.900,0.465,222.200,0.489,176.100,0.468,166.500,0.548,139.000,0.487
,,212.900,0.465,222.400,0.489,176.100,0.467,166.400,0.548,139.200,0.487
,,212.900,0.465,222.500,0.489,176.000,0.468,166.100,0.548,139.300,0.487
,,212.900,0.464,222.500,0.489,176.000,0.468,166.200,0.548,139.000,0.487
,,212.900,0.465,222.700,0.489,176.000,0.468,166.400,0.548,139.400,0.487
,,213.200,0.465,222.600,0.489,176.000,0.467,166.400,0.548,139.300,0.487
,,213.300,0.465,222.900,0.489,176.100,0.469,166.500,0.547,139.500,0.487
,,213.400,0.465,222.700,0.488,176.000,0.469,166.700,0.547,139.500,0.487
,,213.500,0.465,222.800,0.488,176.000,0.468,166.700,0.548,139.400,0.487
,,213.200,0.465,222.700,0.489,176.100,0.468,167.000,0.548,140.000,0.488
,,213.400,0.465,222.800,0.489,176.000,0.469,167.100,0.548,140.100,0.488
,,213.700,0.465,222.900,0.489,176.100,0.469,167.200,0.550,140.000,0.488
,,213.700,0.466,223.400,0.489,176.200,0.469,167.600,0.554,140.000,0.488
,,214.000,0.465,223.500,0.490,176.300,0.468,167.800,0.557,140.100,0.489
,,214.000,0.466,223.800,0.490,176.600,0.469,167.700,0.561,140.600,0.488
,,214.000,0.465,224.000,0.490,176.600,0.468,167.800,0.563,140.600,0.489
,,214.100,0.466,224.100,0.489,176.600,0.468,167.700,0.565,140.600,0.488
,,214.100,0.465,224.000,0.490,176.600,0.469,167.800,0.567,140.600,0.488
,,214.500,0.466,224.000,0.490,176.600,0.468,168.000,0.568,140.500,0.488
,,214.500,0.466,224.100,0.489,176.600,0.468,168.500,0.568,141.100,0.488
,,214.600,0.466,224.000,0.490,176.600,0.469,168.400,0.570,141.200,0.488
,,214.700,0.466,224.200,0.491,176.500,0.469,168.500,0.570,141.100,0.488
,,214.700,0.466,224.000,0.489,176.700,0.469,168.900,0.569,141.100,0.487
,,214.700,0.466,224.400,0.490,177.200,0.468,168.700,0.570,141.400,0.487
,,214.500,0.466,224.600,0.491,177.200,0.469,168.700,0.572,141.800,0.488
,,214.900,0.466,224.500,0.489,177.000,0.469,169.000,0.572,141.900,0.488
,,215.200,0.465,224.400,0.490,177.500,0.469,169.000,0.571,141.800,0.488
,,215.100,0.466,224.600,0.490,177.700,0.469,169.300,0.571,141.600,0.488
,,215.100,0.466,224.500,0.489,177.700,0.468,169.500,0.572,141.800,0.488
,,215.200,0.466,224.900,0.490,177.800,0.469,169.500,0.572,141.600,0.488
,,215.200,0.466,225.000,0.491,177.800,0.469,169.600,0.572,141.800,0.488
,,215.100,0.466,225.200,0.490,177.800,0.469,169.600,0.572,142.200,0.488
,,215.200,0.466,225.200,0.489,177.500,0.469,169.500,0.573,142.400,0.488
,,215.200,0.466,225.600,0.490,177.600,0.468,170.100,0.573,142.200,0.488
,,215.100,0.466,225.800,0.491,177.700,0.468,170.100,0.573,142.300,0.489
,,215.000,0.466,225.700,0.489,177.600,0.468,170.100,0.573,142.300,0.488
,,215.300,0.466,226.000,0.490,178.000,0.469,170.000,0.573,142.600,0.489
,,215.600,0.466,226.000,0.490,178.000,0.469,170.200,0.573,142.800,0.489
,,215.700,0.466,226.200,0.490,177.900,0.468,170.100,0.573,142.800,0.488
,,215.800,0.466,226.400,0.490,178.000,0.469,170.000,0.574,143.300,0.489
,,215.700,0.466,226.400,0.489,177.700,0.469,170.000,0.573,143.500,0.489
,,215.700,0.466,226.300,0.490,177.700,0.468,170.200,0.573,143.300,0.489
,,215.800,0.467,226.400,0.490,178.000,0.470,170.500,0.574,143.400,0.489
,,215.700,0.466,226.900,0.489,178.300,0.474,170.600,0.574,143.500,0.489
,,216.300,0.466,226.900,0.489,178.300,0.477,170.700,0.573,143.800,0.490
,,216.400,0.466,226.800,0.489,178.500,0.480,170.500,0.573,143.900,0.489
,,216.300,0.466,227.300,0.489,178.800,0.484,170.700,0.574,143.400,0.488
,,216.400,0.466,227.400,0.490,178.900,0.485,170.500,0.574,143.800,0.489
,,216.600,0.466,227.500,0.490,179.300,0.487,170.900,0.574,143.900,0.489
,,216.900,0.468,227.800,0.489,179.600,0.488,171.200,0.574,143.900,0.489
,,217.000,0.471,228.000,0.490,179.300,0.488,171.200,0.574,144.100,0.489
,,216.900,0.474,228.000,0.490,179.600,0.489,171.100,0.574,144.000,0.488
,,217.100,0.477,228.200,0.490,179.900,0.489,171.200,0.574,144.000,0.488
,,217.300,0.478,228.100,0.490,179.900,0.490,171.200,0.574,144.100,0.489
,,217.400,0.478,228.500,0.490,180.000,0.490,171.400,0.574,144.100,0.489
,,217.500,0.480,228.500,0.490,179.900,0.490,171.800,0.574,144.500,0.489
,,217.400,0.481,228.600,0.490,179.400,0.491,171.800,0.574,144.600,0.489
,,217.600,0.482,228.500,0.490,179.500,0.490,171.700,0.575,144.300,0.489
,,217.600,0.483,228.700,0.490,179.400,0.492,171.800,0.574,144.500,0.489
,,217.900,0.484,228.800,0.490,179.500,0.491,171.800,0.574,144.600,0.489
,,218.100,0.483,229.200,0.490,179.500,0.492,172.300,0.574,144.500,0.489
,,218.000,0.484,229.000,0.489,179.600,0.491,172.300,0.574,144.600,0.489
,,218.000,0.485,229.300,0.491,180.000,0.492,172.200,0.574,144.800,0.489
,,218.400,0.485,229.800,0.490,180.100,0.492,172.300,0.574,144.800,0.489
,,218.600,0.485,230.300,0.489,180.000,0.492,172.400,0.575,144.900,0.489
,,218.900,0.486,230.200,0.491,180.100,0.493,172.400,0.575,145.100,0.489
,,219.100,0.486,230.100,0.490,180.500,0.492,172.200,0.574,145.000,0.489
,,219.300,0.487,230.300,0.490,180.700,0.492,172.500,0.575,145.600,0.489
,,219.600,0.487,230.400,0.490,180.600,0.493,172.800,0.574,145.700,0.489
,,219.700,0.487,230.000,0.491,180.600,0.493,172.900,0.574,145.700,0.490
,,219.700,0.486,230.300,0.491,180.900,0.493,173.000,0.575,146.200,0.489
,,219.700,0.487,230.400,0.490,181.200,0.493,172.900,0.575,146.200,0.489
,,219.800,0.487,230.200,0.490,181.100,0.494,173.000,0.575,146.300,0.490
,,219.800,0.487,230.200,0.491,181.100,0.493,173.600,0.575,146.300,0.489
,,220.000,0.487,230.700,0.490,181.200,0.494,173.300,0.575,146.300,0.490
,,219.900,0.488,230.900,0.490,181.600,0.493,173.500,0.575,146.400,0.490
,,219.700,0.488,230.800,0.490,181.600,0.494,173.700,0.575,146.700,0.490
,,220.300,0.488,230.900,0.491,181.600,0.494,174.200,0.575,146.800,0.490
,,220.300,0.487,230.800,0.490,181.700,0.494,174.100,0.575,146.900,0.490
,,220.400,0.488,231.100,0.491,182.200,0.494,174.100,0.575,146.800,0.490
,,220.500,0.487,231.300,0.491,182.300,0.494,174.100,0.575,146.800,0.491
,,221.100,0.488,231.400,0.491,182.300,0.494,174.100,0.576,146.700,0.490
,,221.500,0.487,231.800,0.491,182.200,0.494,174.300,0.576,146.900,0.491
,,221.500,0.488,231.900,0.491,182.500,0.494,174.500,0.576,147.000,0.490
,,221.600,0.487,232.000,0.490,182.700,0.494,174.700,0.576,146.800,0.490
,,222.000,0.488,232.100,0.491,182.600,0.494,175.200,0.577,146.800,0.490
,,221.900,0.488,232.400,0.491,182.900,0.494,175.200,0.576,146.800,0.491
,,222.000,0.488,232.600,0.490,182.800,0.495,175.300,0.576,146.800,0.490
,,222.500,0.488,232.500,0.490,183.000,0.494,175.100,0.576,146.900,0.491
,,222.500,0.488,232.500,0.490,182.900,0.494,175.300,0.576,146.900,0.490
,,222.700,0.488,232.500,0.490,182.800,0.495,175.200,0.577,146.900,0.490
,,222.700,0.488,233.100,0.490,182.900,0.494,175.300,0.576,147.100,0.491
,,223.100,0.487,233.000,0.490,182.900,0.495,175.200,0.576,147.500,0.490
,,223.000,0.488,232.900,0.492,182.900,0.494,175.300,0.576,147.500,0.490
,,223.300,0.488,233.000,0.490,182.700,0.495,175.400,0.576,147.400,0.490
,,223.800,0.488,233.500,0.491,182.700,0.494,175.500,0.575,147.500,0.490
,,223.600,0.488,233.700,0.490,182.800,0.494,175.800,0.576,147.500,0.490
,,223.800,0.488,233.700,0.490,183.000,0.495,175.800,0.576,147.500,0.490
,,224.400,0.487,233.500,0.490,183.300,0.495,175.800,0.576,147.400,0.490
,,224.300,0.488,234.200,0.491,183.400,0.495,175.900,0.576,147.300,0.490
,,224.300,0.488,234.300,0.491,183.400,0.495,175.700,0.576,147.400,0.491
,,224.400,0.488,234.100,0.491,183.300,0.494,176.200,0.576,147.500,0.491
,,224.700,0.488,234.500,0.491,183.400,0.495,176.200,0.576,147.500,0.491
,,224.700,0.488,234.700,0.490,183.500,0.494,176.300,0.575,147.400,0.491
,,224.900,0.488,234.700,0.491,183.500,0.494,176.300,0.576,147.300,0.491
,,225.000,0.488,234.700,0.490,184.000,0.495,176.400,0.576,147.500,0.490
,,225.400,0.488,234.800,0.490,184.100,0.495,176.400,0.576,147.500,0.491
,,225.400,0.487,234.700,0.490,183.900,0.495,176.400,0.575,147.500,0.490
,,225.800,0.488,235.200,0.491,184.100,0.495,176.200,0.576,147.400,0.491
,,226.000,0.488,235.500,0.490,184.100,0.496,176.200,0.577,147.400,0.490
,,226.000,0.488,235.400,0.491,184.400,0.495,176.100,0.576,147.400,0.491
,,226.000,0.488,235.400,0.491,184.600,0.495,176.300,0.576,147.400,0.491
,,225.800,0.488,235.400,0.490,184.900,0.496,175.700,0.576,147.400,0.491
,,225.900,0.488,235.200,0.491,185.200,0.495,176.000,0.577,147.500,0.491
,,226.500,0.488,235.200,0.490,185.200,0.495,176.100,0.576,147.400,0.491
,,226.600,0.488,235.800,0.491,185.200,0.495,176.300,0.577,147.500,0.491
,,226.700,0.489,236.000,0.491,185.100,0.496,176.300,0.577,147.500,0.491
,,226.800,0.488,235.900,0.491,185.400,0.496,176.400,0.576,147.700,0.492
,,227.000,0.487,235.900,0.491,185.700,0.496,176.400,0.577,148.000,0.492
,,227.100,0.488,236.000,0.491,185.700,0.495,176.200,0.576,148.000,0.491
,,227.200,0.488,236.100,0.491,185.700,0.495,176.400,0.576,148.000,0.491
,,227.400,0.488,236.100,0.491,185.600,0.495,176.400,0.576,148.000,0.491
,,227.600,0.488,236.500,0.491,185.700,0.496,176.600,0.576,148.000,0.491
,,227.700,0.488,236.600,0.491,185.700,0.496,176.800,0.576,148.100,0.491
,,227.600,0.489,236.500,0.492,185.600,0.496,176.900,0.576,148.000,0.492
,,228.100,0.489,236.500,0.492,185.600,0.495,177.000,0.576,148.000,0.492
,,228.300,0.488,236.500,0.491,185.700,0.495,176.900,0.576,147.900,0.492
,,228.300,0.488,236.900,0.491,185.600,0.496,176.900,0.577,147.900,0.491
,,228.300,0.489,237.000,0.492,185.700,0.495,176.900,0.576,148.100,0.491
,,228.300,0.488,237.100,0.491,185.700,0.495,177.400,0.575,148.000,0.491
,,228.200,0.488,237.000,0.492,185.900,0.496,177.500,0.576,148.400,0.491
,,228.500,0.488,237.200,0.492,186.200,0.496,177.500,0.577,148.500,0.491
,,228.900,0.488,237.700,0.492,186.200,0.496,177.400,0.576,148.600,0.491
,,228.900,0.489,237.700,0.493,186.400,0.496,177.500,0.577,148.500,0.491
,,228.700,0.489,237.600,0.492,186.200,0.495,177.600,0.576,148.600,0.490
,,229.000,0.488,237.700,0.493,186.400,0.496,177.900,0.576,148.600,0.491
,,229.400,0.488,237.400,0.492,186.200,0.496,178.000,0.576,148.500,0.490
,,229.400,0.488,237.900,0.492,186.300,0.496,178.000,0.577,148.600,0.490
,,229.400,0.488,237.900,0.492,186.200,0.495,178.100,0.576,148.600,0.490
,,229.300,0.489,238.200,0.492,186.400,0.496,178.000,0.577,148.700,0.489
,,229.700,0.489,238.300,0.492,186.600,0.496,178.100,0.576,148.700,0.490
,,229.900,0.488,238.200,0.492,187.100,0.496,178.100,0.576,148.700,0.491
,,229.800,0.488,238.100,0.492,187.400,0.495,178.300,0.577,149.000,0.490
,,230.000,0.488,238.300,0.491,187.400,0.496,178.300,0.576,149.100,0.490
,,230.100,0.488,238.800,0.492,187.500,0.496,178.200,0.576,149.000,0.491
,,230.200,0.488,238.700,0.492,187.500,0.496,178.300,0.576,149.200,0.490
,,230.500,0.488,238.800,0.492,187.900,0.496,178.400,0.577,149.100,0.491
,,231.100,0.489,238.700,0.492,188.000,0.495,178.600,0.577,149.200,0.490
,,230.900,0.488,238.800,0.492,187.800,0.496,178.400,0.576,149.200,0.491
,,230.800,0.488,238.700,0.492,188.000,0.495,178.600,0.576,149.200,0.491
,,231.100,0.488,238.300,0.493,188.100,0.496,178.600,0.576,149.100,0.491
,,231.000,0.488,238.400,0.491,188.000,0.496,178.500,0.576,149.100,0.491
,,231.100,0.489,238.800,0.492,188.000,0.496,178.700,0.577,149.100,0.491
,,231.100,0.489,238.800,0.492,188.200,0.496,178.600,0.576,149.200,0.491
,,231.600,0.488,238.900,0.493,188.200,0.496,178.600,0.577,149.100,0.490
,,231.700,0.488,239.200,0.492,188.100,0.496,178.900,0.576,149.100,0.491
,,231.800,0.488,239.000,0.493,188.400,0.496,179.000,0.576,149.200,0.490
,,231.700,0.488,238.800,0.492,188.500,0.496,179.100,0.577,149.300,0.490
,,231.700,0.488,239.000,0.493,188.600,0.496,179.200,0.577,149.100,0.490
,,231.700,0.488,239.600,0.492,188.400,0.496,179.100,0.577,149.200,0.491
,,231.600,0.488,239.900,0.492,188.200,0.496,179.100,0.577,149.300,0.491
,,232.000,0.488,239.900,0.492,188.500,0.497,179.200,0.577,149.200,0.491
,,232.300,0.488,239.300,0.492,188.500,0.496,179.300,0.577,149.200,0.491
,,232.300,0.489,239.800,0.492,188.600,0.496,179.400,0.576,149.200,0.490
,,232.200,0.489,239.900,0.492,188.500,0.496,179.500,0.578,149.200,0.490
,,232.300,0.489,239.900,0.492,188.700,0.497,179.700,0.577,149.200,0.490
,,232.200,0.489,239.700,0.492,189.000,0.496,179.800,0.577,149.200,0.490
,,233.000,0.489,239.900,0.492,189.100,0.496,179.700,0.577,149.500,0.490
,,233.000,0.489,240.000,0.492,189.000,0.496,179.700,0.576,149.500,0.490
,,233.100,0.489,240.100,0.492,189.100,0.496,179.800,0.576,149.600,0.491
,,233.400,0.488,240.500,0.492,189.200,0.497,179.900,0.577,149.500,0.491
,,233.500,0.489,240.500,0.492,189.200,0.496,179.700,0.577,149.800,0.490
,,233.400,0.489,240.500,0.493,189.200,0.497,179.800,0.576,149.700,0.490
,,233.400,0.489,240.400,0.493,189.700,0.497,179.800,0.577,149.700,0.491
,,233.400,0.490,240.400,0.493,189.700,0.497,179.900,0.577,149.700,0.491
,,233.900,0.489,240.800,0.492,189.800,0.497,179.900,0.576,149.700,0.490
,,234.100,0.489,241.200,0.493,189.700,0.497,180.200,0.577,149.700,0.490
,,234.000,0.489,241.100,0.493,189.700,0.497,180.300,0.576,149.800,0.490
,,234.600,0.489,241.200,0.493,189.600,0.496,180.300,0.576,149.700,0.491
,,234.600,0.489,241.300,0.493,189.700,0.497,180.300,0.576,149.800,0.490
,,234.800,0.488,241.700,0.492,189.700,0.497,180.200,0.576,149.800,0.491
,,235.100,0.489,241.400,0.493,189.700,0.496,180.300,0.577,149.600,0.490
,,235.000,0.489,241.500,0.493,189.900,0.496,180.300,0.576,149.700,0.492
,,235.200,0.489,241.600,0.494,190.000,0.496,180.600,0.576,149.600,0.495
,,235.000,0.490,241.800,0.494,190.200,0.496,181.000,0.576,149.900,0.500
,,235.100,0.489,242.000,0.496,190.200,0.497,180.700,0.576,150.100,0.504
,,235.700,0.489,242.300,0.499,190.200,0.496,181.000,0.576,150.300,0.508
,,235.700,0.489,242.300,0.500,190.300,0.496,181.000,0.576,150.400,0.511
,,235.800,0.489,242.900,0.503,190.200,0.496,180.900,0.577,150.300,0.512
,,236.300,0.489,242.800,0.504,190.300,0.496,181.100,0.577,150.400,0.513
,,236.300,0.489,242.800,0.505,190.600,0.496,181.500,0.577,150.800,0.515
,,236.100,0.489,242.600,0.506,190.900,0.497,181.300,0.577,150.900,0.514
,,236.200,0.489,242.900,0.507,190.800,0.496,181.200,0.576,150.900,0.515
,,236.600,0.489,243.500,0.507,190.900,0.495,181.300,0.576,150.800,0.516
,,236.800,0.489,243.300,0.508,191.200,0.497,181.500,0.576,151.100,0.515
,,236.800,0.490,243.800,0.509,191.400,0.496,181.400,0.577,151.400,0.516
,,237.200,0.489,244.000,0.509,191.200,0.496,181.300,0.577,151.500,0.516
,,237.500,0.489,243.900,0.510,191.400,0.495,181.600,0.576,151.700,0.516
,,237.500,0.489,243.900,0.510,191.500,0.497,181.500,0.577,152.200,0.516
,,237.400,0.490,244.000,0.510,191.400,0.497,181.400,0.577,152.100,0.517
,,237.900,0.489,244.100,0.511,191.500,0.496,181.500,0.577,151.800,0.517
,,237.900,0.489,244.400,0.511,191.900,0.496,181.500,0.578,152.000,0.517
,,238.000,0.489,244.800,0.511,191.800,0.497,181.600,0.577,152.200,0.517
,,238.000,0.490,245.200,0.512,191.900,0.497,181.700,0.576,152.500,0.518
,,238.000,0.489,245.100,0.511,192.000,0.496,182.000,0.577,152.500,0.517
,,238.100,0.489,244.900,0.512,192.000,0.497,182.000,0.577,152.500,0.517
,,238.600,0.490,245.600,0.513,192.000,0.497,182.200,0.577,152.500,0.518
,,238.600,0.490,245.800,0.512,192.000,0.496,182.100,0.577,152.900,0.518
,,238.700,0.490,245.900,0.512,191.900,0.496,182.100,0.577,153.100,0.518
,,238.800,0.489,246.000,0.513,192.000,0.496,182.300,0.578,153.100,0.517
,,238.700,0.489,246.300,0.512,192.100,0.496,182.500,0.577,153.300,0.518
,,238.800,0.489,246.400,0.512,192.500,0.497,182.600,0.577,153.500,0.517
,,239.000,0.489,246.700,0.513,192.500,0.497,182.500,0.577,153.600,0.518
,,239.200,0.489,247.000,0.513,192.400,0.497,182.600,0.578,153.600,0.518
,,239.300,0.489,246.700,0.512,192.600,0.497,182.500,0.578,153.800,0.518
,,239.400,0.489,246.800,0.512,192.700,0.497,182.900,0.579,154.200,0.519
,,239.900,0.489,246.600,0.513,192.600,0.497,183.200,0.580,154.300,0.518
,,240.300,0.490,247.300,0.512,192.600,0.496,183.200,0.584,154.300,0.518
,,240.400,0.489,247.300,0.512,192.500,0.496,183.500,0.587,154.300,0.519
,,240.300,0.490,247.300,0.513,192.700,0.496,183.700,0.590,154.400,0.519
,,240.300,0.490,247.700,0.513,192.600,0.497,183.800,0.592,154.400,0.519
,,240.200,0.490,247.900,0.512,193.100,0.496,183.700,0.594,154.300,0.519
,,240.500,0.489,248.000,0.513,193.200,0.497,183.900,0.595,154.300,0.518
,,240.800,0.490,248.400,0.513,193.100,0.497,183.900,0.596,154.300,0.519
,,240.800,0.489,248.400,0.513,193.000,0.497,184.200,0.597,154.300,0.519
,,240.800,0.489,248.500,0.512,193.100,0.497,184.500,0.597,154.400,0.518
,,240.800,0.490,248.500,0.512,193.200,0.496,184.400,0.598,154.300,0.518
,,240.700,0.489,249.000,0.513,193.700,0.497,184.400,0.599,154.400,0.518
,,240.900,0.490,249.100,0.512,193.800,0.497,184.700,0.599,154.900,0.518
,,241.400,0.490,249.400,0.512,193.500,0.497,184.900,0.599,154.500,0.519
,,241.500,0.490,249.700,0.512,193.700,0.497,184.900,0.600,154.600,0.518
,,241.500,0.490,249.900,0.512,193.700,0.497,184.900,0.599,154.600,0.518
,,241.500,0.490,250.300,0.513,193.600,0.497,185.400,0.600,154.700,0.518
,,241.700,0.490,250.300,0.513,193.800,0.497,185.400,0.600,154.900,0.519
,,241.900,0.490,250.300,0.512,194.200,0.496,185.600,0.601,155.000,0.518
,,241.800,0.490,250.800,0.512,194.100,0.497,186.100,0.600,155.400,0.519
,,241.800,0.490,251.000,0.513,194.200,0.497,186.100,0.601,155.400,0.519
,,242.000,0.490,251.300,0.512,194.300,0.497,186.600,0.602,155.500,0.519
,,241.900,0.490,251.800,0.513,194.200,0.496,186.700,0.600,155.500,0.519
,,242.000,0.491,251.800,0.512,194.300,0.497,186.600,0.602,155.400,0.519
,,242.000,0.490,252.000,0.512,194.200,0.498,186.600,0.602,155.600,0.519
,,242.300,0.490,251.900,0.514,194.200,0.497,186.700,0.602,155.500,0.519
,,242.400,0.491,252.500,0.513,194.400,0.497,187.000,0.602,155.400,0.519
,,242.300,0.489,252.500,0.513,194.100,0.497,187.200,0.602,155.600,0.519
,,242.500,0.490,252.600,0.513,194.300,0.497,187.300,0.603,155.400,0.519
,,242.500,0.491,252.600,0.512,194.300,0.496,187.300,0.602,155.400,0.519
,,242.600,0.490,253.100,0.513,194.300,0.498,187.800,0.601,155.300,0.519
,,243.000,0.490,253.000,0.513,194.300,0.500,187.800,0.602,155.600,0.519
,,243.000,0.490,253.200,0.513,194.300,0.502,187.700,0.602,155.900,0.520
,,243.100,0.490,253.100,0.513,194.400,0.506,188.000,0.601,155.900,0.520
,,243.100,0.491,253.400,0.513,194.300,0.509,188.400,0.603,156.100,0.519
,,243.100,0.490,253.600,0.513,194.300,0.511,188.400,0.601,155.900,0.520
,,243.100,0.490,253.700,0.513,194.400,0.513,188.300,0.602,156.000,0.520
,,243.800,0.490,253.700,0.513,194.800,0.514,188.300,0.602,156.200,0.519
,,243.600,0.492,254.000,0.513,194.900,0.516,188.700,0.601,156.300,0.520
,,243.500,0.494,254.200,0.513,194.900,0.516,188.800,0.603,156.100,0.519
,,243.700,0.497,254.100,0.513,194.900,0.517,188.900,0.602,156.400,0.520
